qa_id,question,img_path,gold_answer,generated_answer,evidence_page_nums,gt_slide_count,prior_evidence_em,prior_evidence_em_at_topk,dominant_passage_is_gt,prior_passage_is_gt,exact_match
397,"For the brand that had a Facebook Unmetric Score of 42, what is coupon code for Black Friday?",../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_397_page_4.png,BLKLIGHT,KARMALOOP,"[4, 16]",2,1,1,True,True,0
404,What are three examples of Turkic ethnolinguistic groups in the country whose economy is primarily agriculture-based?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_404_page_5.png,"Kirghiz, Turkmen, Uzbek","Turkmen, Uzbek, Nuristani","[5, 18]",2,1,1,True,True,0
483,"What is a Parameter example in the framework which contains the Algorithm IB Cosine and RMSE 0,92476162?",../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_483_page_7.png,neighborhoodsize,"factors, iterations","[7, 12]",2,1,1,True,True,0
495,In which year did the number of users on the platform which has >20M users in Thailand alone surpass Kakao Talk users?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_495_page_12.png,2012,2013,"[12, 13]",2,1,1,True,True,0
525,What is Dr. Albert Heuser's position at the company that is well positioned in China in an increasingly competitive environment?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_525_page_3.png,President Greater China & Functions Asia Pacific,President Greater Greater China & Functions Asia Pacific,"[3, 9]",2,1,1,True,True,0
539,"What are examples of the layer that includes LOCAL MESH GATEWAY, MESSAGE BROKER, and INERNET CONNECTIVITY?",../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_539_page_13.png,"Dowse, OpenHAB, TheThingSystem, ZIPR, Ponte, WebSphere, RabbitMQ, Dweet",MIDDLEWARE,"[13, 16]",2,1,1,False,True,0
555,What are the two categories of the mathematical branch which includes the concepts learned in algebra and geometry that are extended using the idea of limits?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_555_page_2.png,"Differential, Integral","Differential Calculus, Integral Calculus","[2, 3]",2,1,1,True,True,0
570,How much more is the minimum clearance in mm for a voltage level of 66 KV compared to the voltage level associated with a Meter & Narrow Gauge inside station limit of 9.8(m)?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_570_page_14.png,300,2440,"[14, 15]",2,1,1,True,True,0
580,What is the person who made the “HOW TO AVOID DEATH BY POWERPOINT?” presentation into?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_580_page_1.png,politics,Nancy Verbrugghe,"[1, 2]",2,1,1,True,True,0
594,What are four issues with that which Will Ensure the Success of Mobile Internet?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_594_page_8.png,"Always On, Bursty Traffic, QoS Cost / MB, CAPEX & OPEX","Meeting Higher Demand for Data Speed, Lowering Packet Delay, Increasing Spectral Efficiency, Flexible Spectrum Allocation","[8, 10]",2,1,1,True,True,0
621,"What is the difference in revenue per farmer p.a. between 2005 and the year in which there was $31,000 in investments?",../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_621_page_15.png,"1,549",2006,"[15, 16]",2,1,1,True,True,0
638,What is the yield strain percentage for that which has a Longitudinal Direction of 6.5?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_638_page_14.png,.14 - .25,0.14 - 0.25,"[14, 16]",2,1,1,True,True,0
683,What was BASF's growth target for sales in billions of euro for the year in which the Functionalized materials & solutions is scheduled to finish?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_683_page_10.png,115,85,"[10, 12]",2,1,1,True,True,0
728,What are three areas of the other component of SWOT Analysis along with External Analysis?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_728_page_8.png,"Culture, Competencies, Composition","Internal Analysis, Strategy Formulation, Strategy Implementation","[8, 12]",2,1,1,True,True,0
750,"What are examples of the DATA Analytics Stack besides Hadoop & Hive, Spark, DW & SQL, or Files & Web Services?",../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_750_page_8.png,"MongoDB, Cassandra / DataStax","NoSQL, Text & NLP","[8, 9]",2,1,1,True,True,0
783,How many generators for that which is involved in both the REDUCTION phases of the ELONGATION cycle are named in the figure?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_783_page_12.png,3,2,"[12, 14]",2,1,1,True,True,0
792,How many people per year are killed by humans and the creature that carries dengue combined?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_792_page_3.png,"1,200,000",800000,"[3, 4]",2,1,1,True,True,0
798,"Is the RNA virus, genus: Flavivirus, family: Flavivirida more common in the northern or southern hemisphere?",../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_798_page_4.png,southern hemisphere,Northern,"[4, 8]",2,1,1,True,True,0
802,"What three languages does the Storm API which includes Micro-Batch, Higher Throughput, and Operates on Streams of Tuple Batches and Partitions use?",../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_802_page_12.png,"Java, Clojure, Scala","Java, Python, C++","[12, 13]",2,1,1,True,True,0
